"CODMUNRES";"NOMEMUN";"nascidos_vivos";"ANO_NASC"
"421650";"São Joaquim";366;2011
"421660";"São José";2932;2011
"421670";"São José do Cedro";149;2011
"421680";"São José do Cerrito";87;2011
"421690";"São Lourenço do Oeste";316;2011
"421700";"São Ludgero";156;2011
"421710";"São Martinho";29;2011
"421715";"São Miguel da Boa Vista";20;2011
"421720";"São Miguel do Oeste";493;2011
"421725";"São Pedro de Alcântara";40;2011
"421730";"Saudades";99;2011
"421740";"Schroeder";256;2011
"421750";"Seara";204;2011
"421755";"Serra Alta";39;2011
"421760";"Siderópolis";157;2011
"421770";"Sombrio";390;2011
"421775";"Sul Brasil";39;2011
"421780";"Taió";229;2011
"421790";"Tangará";96;2011
"421795";"Tigrinhos";29;2011
"421800";"Tijucas";474;2011
"421810";"Timbé do Sul";15;2011
"421820";"Timbó";474;2011
"421825";"Timbó Grande";122;2011
"421830";"Três Barras";279;2011
"421835";"Treviso";41;2011
"421840";"Treze de Maio";71;2011
"421850";"Treze Tílias";86;2011
"421860";"Trombudo Central";78;2011
"421870";"Tubarão";1213;2011
"421875";"Tunápolis";54;2011
"421880";"Turvo";161;2011
"421885";"União do Oeste";24;2011
"421890";"Urubici";157;2011
"421895";"Urupema";34;2011
"421900";"Urussanga";237;2011
"421910";"Vargeão";45;2011
"421915";"Vargem";37;2011
"421917";"Vargem Bonita";69;2011
"421920";"Vidal Ramos";82;2011
"421930";"Videira";718;2011
"421935";"Vitor Meireles";62;2011
"421940";"Witmarsum";59;2011
"421950";"Xanxerê";617;2011
"421960";"Xavantina";39;2011
"421970";"Xaxim";381;2011
"421985";"Zortéa";41;2011
"420000";"Município ignorado - SC";1;2011
"420005";"Abdon Batista";33;2012
"420010";"Abelardo Luz";269;2012
"420020";"Agrolândia";142;2012
"420030";"Agronômica";66;2012
"420040";"Água Doce";91;2012
"420050";"Águas de Chapecó";69;2012
"420055";"Águas Frias";29;2012
"420060";"Águas Mornas";67;2012
"420070";"Alfredo Wagner";105;2012
"420075";"Alto Bela Vista";18;2012
"420080";"Anchieta";73;2012
"420090";"Angelina";58;2012
"420100";"Anita Garibaldi";96;2012
"420110";"Anitápolis";25;2012
"420120";"Antônio Carlos";102;2012
"420125";"Apiúna";123;2012
"420127";"Arabutã";42;2012
"420130";"Araquari";499;2012
"420140";"Araranguá";872;2012
"420150";"Armazém";103;2012
"420160";"Arroio Trinta";28;2012
"420165";"Arvoredo";24;2012
"420170";"Ascurra";102;2012
"420180";"Atalanta";33;2012
"420190";"Aurora";78;2012
"420195";"Balneário Arroio do Silva";158;2012
"420205";"Balneário Barra do Sul";108;2012
"420200";"Balneário Camboriú";1354;2012
"420207";"Balneário Gaivota";95;2012
"421280";"Balneário Piçarras";263;2012
"422000";"Balneário Rincão";NA;2012
"420208";"Bandeirante";38;2012
"420209";"Barra Bonita";24;2012
"420210";"Barra Velha";361;2012
"420213";"Bela Vista do Toldo";66;2012
"420215";"Belmonte";34;2012
"420220";"Benedito Novo";102;2012
"420230";"Biguaçu";875;2012
"420240";"Blumenau";4401;2012
"420243";"Bocaina do Sul";34;2012
"420250";"Bom Jardim da Serra";39;2012
"420253";"Bom Jesus";48;2012
"420257";"Bom Jesus do Oeste";25;2012
"420260";"Bom Retiro";117;2012
"420245";"Bombinhas";229;2012
"420270";"Botuverá";63;2012
"420280";"Braço do Norte";459;2012
"420285";"Braço do Trombudo";48;2012
"420287";"Brunópolis";33;2012
"420290";"Brusque";1526;2012
"420300";"Caçador";1115;2012
"420310";"Caibi";58;2012
"420315";"Calmon";62;2012
"420320";"Camboriú";1191;2012
"420330";"Campo Alegre";137;2012
"420340";"Campo Belo do Sul";100;2012
"420350";"Campo Erê";136;2012
"420360";"Campos Novos";470;2012
"420370";"Canelinha";126;2012
"420380";"Canoinhas";802;2012
"420325";"Capão Alto";31;2012
"420390";"Capinzal";296;2012
"420395";"Capivari de Baixo";299;2012
"420400";"Catanduvas";140;2012
"420410";"Caxambu do Sul";46;2012
"420415";"Celso Ramos";36;2012
"420417";"Cerro Negro";41;2012
"420419";"Chapadão do Lageado";37;2012
"420420";"Chapecó";3006;2012
"420425";"Cocal do Sul";182;2012
"420430";"Concórdia";917;2012
"420435";"Cordilheira Alta";38;2012
"420440";"Coronel Freitas";96;2012
"420445";"Coronel Martins";21;2012
"420455";"Correia Pinto";199;2012
"420450";"Corupá";178;2012
"420460";"Criciúma";2731;2012
"420470";"Cunha Porã";94;2012
"420475";"Cunhataí";23;2012
"420480";"Curitibanos";617;2012
"420490";"Descanso";71;2012
"420500";"Dionísio Cerqueira";244;2012
"420510";"Dona Emma";48;2012
"420515";"Doutor Pedrinho";49;2012
"420517";"Entre Rios";52;2012
"420519";"Ermo";37;2012
"420520";"Erval Velho";50;2012
"420530";"Faxinal dos Guedes";136;2012
"420535";"Flor do Sertão";12;2012
"420540";"Florianópolis";5495;2012
"420543";"Formosa do Sul";25;2012
"420545";"Forquilhinha";346;2012
"420550";"Fraiburgo";549;2012
"420555";"Frei Rogério";24;2012
"420560";"Galvão";50;2012
